PC,num_hit_days,first_hit_date,last_hit_date,max_abs_z,mean_abs_z,close_on_first_hit,close_on_last_hit
PC1,20,2021-01-29,2022-05-14,5.0982627278382795,3.096205430177449,1.02505982,0.1964422567
PC10,21,2021-01-26,2022-04-06,3.313372230997024,2.4207216838292536,0.99784804,1.0003108463
PC2,18,2021-02-13,2022-05-05,3.187312732112347,2.444327522609804,1.00151174,0.9995462775
PC3,24,2021-01-25,2022-05-14,3.840122354485211,2.495216160195197,0.99932176,0.1964422567
PC4,19,2021-02-08,2022-03-17,3.1523226618188263,2.385995206641457,1.00204248,1.0037422843
PC5,22,2021-02-26,2022-05-05,3.556094714390053,2.5584621671314096,0.99960689,0.9995462775
PC6,19,2021-03-20,2022-05-05,3.18288578568842,2.4473225795242826,1.00268787,0.9995462775
PC7,22,2021-01-28,2022-04-04,3.524297768755268,2.3828662948410235,1.01635464,1.0005008242
PC8,15,2021-03-02,2022-04-02,3.299121701019471,2.4699375697207193,1.00064245,1.0000884905
PC9,27,2021-01-25,2022-04-08,2.805173796125869,2.331039804240938,0.99932176,1.0001910494
