stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,first_hit_date,avg_close_price_hit_days,precision,recall,f1_score,specificity
DAI,PC1,18,5,2,2021-04-18,0.9973030966222223,0.1111111111111111,0.0,0.0,0.9914666666666667
DAI,PC9,4,5,1,2021-04-15,1.000457085225,0.25,0.2,0.22222222222222224,0.9983991462113126
DAI,PC4,7,5,1,2021-05-13,1.0001737205714285,0.14285714285714285,0.2,0.16666666666666666,0.9967982924226254
DAI,PC2,6,5,0,2021-11-11,0.9996475615833332,0.0,0.0,,0.9968
DAI,PC3,9,5,0,2021-03-22,1.0000193143666667,0.0,0.0,,0.9952
DAI,PC5,14,5,0,2021-07-28,0.9998951158928574,0.0,0.0,,0.9925333333333334
DAI,PC6,6,5,0,2021-02-20,0.9999548872833334,0.0,0.0,,0.9968
DAI,PC7,11,5,0,2021-02-15,0.9999854554545454,0.0,0.0,,0.9941333333333333
DAI,PC8,9,5,0,2021-02-06,0.9999071142555555,0.0,0.0,,0.9952
DAI,PC10,11,5,0,2021-10-16,1.0001259666999998,0.0,0.0,,0.9941333333333333
PAX,PC1,73,23,17,2021-02-10,0.9982399306945204,0.2328767123287671,0.2608695652173913,0.24607961399276235,0.9696969696969697
PAX,PC10,96,23,10,2021-02-18,0.9996538151166666,0.10416666666666667,0.4782608695652174,0.17107309486780717,0.9534380075798592
PAX,PC2,76,23,9,2021-01-23,0.9993811169157892,0.11842105263157894,0.17391304347826086,0.14090019569471626,0.9638619201725998
PAX,PC9,96,23,9,2021-03-04,0.9997426095854167,0.09375,0.391304347826087,0.1512605042016807,0.952922077922078
PAX,PC8,88,23,8,2021-01-30,0.9996920722704545,0.09090909090909091,0.30434782608695654,0.13999999999999999,0.9567567567567568
PAX,PC6,109,23,6,2021-02-19,0.9998455379825688,0.05504587155963303,0.17391304347826086,0.08362369337979093,0.9443844492440605
PAX,PC3,84,23,5,2021-03-02,0.9996229292928572,0.05952380952380952,0.21739130434782608,0.09345794392523364,0.9573664328116568
PAX,PC7,92,23,5,2021-02-11,1.0003057254065217,0.05434782608695652,0.2608695652173913,0.08995502248875561,0.953023758099352
PAX,PC4,82,23,4,2021-03-12,0.9996411716707317,0.04878048780487805,0.13043478260869565,0.07100591715976332,0.9579514824797843
PAX,PC5,86,23,2,2021-07-29,0.9991636979720929,0.023255813953488372,0.08695652173913043,0.03669724770642202,0.9547657512116317
USDC,PC1,14,3,3,2021-03-17,0.9989193630571428,0.21428571428571427,0.6666666666666666,0.3243243243243243,0.994136460554371
USDC,PC3,10,3,2,2021-04-03,0.9996626117,0.2,0.3333333333333333,0.25,0.9957356076759062
USDC,PC9,8,3,1,2021-02-24,1.0001445947124998,0.125,0.3333333333333333,0.18181818181818182,0.996268656716418
USDC,PC2,8,3,0,2021-04-30,0.9999389337625,0.0,0.0,,0.9957378795950985
USDC,PC4,4,3,0,2022-05-13,1.00011959195,0.0,0.0,,0.9978689397975493
USDC,PC5,8,3,0,2021-09-08,1.000035119,0.0,0.0,,0.9957378795950985
USDC,PC6,5,3,0,2022-04-08,0.99994125302,0.0,0.0,,0.9973361747469366
USDC,PC7,5,3,0,2021-06-17,1.00009744878,0.0,0.0,,0.9973361747469366
USDC,PC8,7,3,0,2021-02-24,0.9999668027142856,0.0,0.0,,0.9962706446457112
USDC,PC10,3,3,0,2021-06-29,1.0000110526666666,0.0,0.0,,0.9984017048481619
USDT,PC1,11,2,3,2021-04-17,1.0009997421363637,0.2727272727272727,0.5,0.3529411764705882,0.9957378795950985
USDT,PC5,6,2,1,2021-12-31,1.0002570872499998,0.16666666666666666,0.5,0.25,0.9973361747469366
USDT,PC2,4,2,0,2021-04-18,1.000021692975,0.0,0.0,,0.9978700745473909
USDT,PC3,3,2,0,2021-04-05,1.0002167471,0.0,0.0,,0.9984025559105432
USDT,PC4,9,2,0,2021-06-15,0.9999991304888888,0.0,0.0,,0.9952076677316294
USDT,PC6,5,2,0,2021-11-30,1.00030686766,0.0,0.0,,0.9973375931842385
USDT,PC7,4,2,0,2021-04-30,0.999870388775,0.0,0.0,,0.9978700745473909
USDT,PC8,3,2,0,2021-07-25,1.0001987792666667,0.0,0.0,,0.9984025559105432
USDT,PC9,9,2,0,2021-03-22,1.0004923531333332,0.0,0.0,,0.9952076677316294
USDT,PC10,5,2,0,2021-05-13,1.0001650661400001,0.0,0.0,,0.9973375931842385
UST,PC1,13,25,11,2021-05-20,0.9782552679461538,0.8461538461538461,0.28,0.4207650273224044,0.9955156950672646
UST,PC9,24,25,7,2021-01-25,1.0013659199958334,0.2916666666666667,0.64,0.4007155635062612,0.9617977528089887
UST,PC10,24,25,7,2021-01-24,1.0017991842291667,0.2916666666666667,0.52,0.3737166324435318,0.9617977528089887
UST,PC2,16,25,5,2021-01-29,1.00131008279375,0.3125,0.56,0.4011461318051576,0.9755011135857461
UST,PC3,24,25,5,2021-01-25,1.0005533243208333,0.20833333333333334,0.48,0.2905569007263923,0.9574944071588367
UST,PC7,24,25,4,2021-01-28,1.0031244947791667,0.16666666666666666,0.44,0.24175824175824176,0.9555555555555556
UST,PC4,18,25,3,2021-02-08,1.000393327422222,0.16666666666666666,0.24,0.19672131147540983,0.9665924276169265
UST,PC6,20,25,3,2021-03-20,1.00140365614,0.15,0.08,0.10434782608695653,0.9620535714285714
UST,PC8,18,25,2,2021-02-26,1.0008239749,0.1111111111111111,0.24,0.1518987341772152,0.9643652561247216
UST,PC5,24,25,2,2021-03-02,1.0012368055499998,0.08333333333333333,0.12,0.09836065573770492,0.9510022271714922
