coin,pc,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,PC1,0.1616,0.6275,0.257,0.5921,3.81,11.03,32,166,241,19
UST,PC3,0.1207,0.1373,0.1284,0.8747,4.0,3.39,7,51,356,44
UST,PC10,0.4167,0.098,0.1587,0.9828,1.8,0.47,5,7,400,46
USDC,PC2,0.0134,0.2,0.0251,0.2216,3.77,22.51,13,959,273,52
USDC,PC3,0.0127,0.2,0.0239,0.181,3.77,23.68,13,1009,223,52
USDC,PC10,0.014,0.2154,0.0263,0.2013,3.86,23.09,14,984,248,51
DAI,PC1,0.0147,0.3659,0.0282,0.087,3.0,26.8,15,1008,96,26
DAI,PC3,0.03,0.6098,0.0572,0.2681,3.72,21.48,25,808,296,16
DAI,PC8,0.0098,0.2439,0.0188,0.0815,3.5,26.96,10,1014,90,31
USDT,PC3,,0.0,,1.0,,0.0,0,0,760,21
USDT,PC4,0.069,0.1905,0.1013,0.9289,3.0,2.1,4,54,706,17
USDT,PC7,0.1321,0.3333,0.1892,0.9395,2.86,1.79,7,46,714,14
USDP,PC1,0.1364,0.038,0.0594,0.9573,2.67,1.1,3,19,426,76
USDP,PC2,0.0,0.0,,0.9933,,0.17,0,3,442,79
USDP,PC3,0.2222,0.0253,0.0455,0.9843,2.0,0.41,2,7,438,77
